Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
DivideInteger/ExMemory 264/ExMemory 0,2.9677609818492835e-6,2.879071758672056e-6,3.0467829707641275e-6,3.07627061618996e-7,2.613700855634987e-7,3.647318517731742e-7
DivideInteger/ExMemory 264/ExMemory 0,2.8663383260615563e-6,2.777474684707113e-6,2.999457305317785e-6,3.4724866758390653e-7,2.5199068972774475e-7,5.632437280575941e-7
DivideInteger/ExMemory 264/ExMemory 1,3.166960774777034e-6,3.0970400067357487e-6,3.225154968525703e-6,2.209014628454007e-7,1.619372180569978e-7,2.924530722977497e-7
DivideInteger/ExMemory 264/ExMemory 3,4.143954091445213e-6,4.057718710049775e-6,4.2465587505027265e-6,3.261439407628658e-7,2.9246788532078443e-7,3.892627870947314e-7
DivideInteger/ExMemory 264/ExMemory 6,4.579284252601607e-6,4.493333241992355e-6,4.71500264693078e-6,3.31295755148548e-7,2.633386130640344e-7,3.956209624797284e-7
DivideInteger/ExMemory 264/ExMemory 13,5.229510652159842e-6,5.2017736841589175e-6,5.2923950677980045e-6,1.423483264857137e-7,8.711033468262623e-8,2.6002670769313304e-7
DivideInteger/ExMemory 264/ExMemory 26,6.4958082835460764e-6,6.43657257561488e-6,6.640351518244029e-6,3.082335819887766e-7,7.533198207315886e-8,5.665480154203303e-7
DivideInteger/ExMemory 264/ExMemory 264,2.443965024422935e-6,2.3859258661349187e-6,2.5330387080292023e-6,2.2169568631822287e-7,1.72951099380897e-7,2.717790616113285e-7
DivideInteger/ExMemory 264/ExMemory 2641,1.7283463911612836e-6,1.6785366618969295e-6,1.7948651293813234e-6,1.9544216711879736e-7,1.4962795662130313e-7,2.674323225330321e-7
DivideInteger/ExMemory 264/ExMemory 26416,2.076833006367864e-6,1.9959480299324146e-6,2.1382973235162764e-6,2.559316604444886e-7,2.0830821881786376e-7,3.0355708402648387e-7
DivideInteger/ExMemory 264/ExMemory 264160,1.8698912009593645e-6,1.811171736287567e-6,1.961020185575299e-6,2.3379765380249767e-7,2.0105646274049161e-7,2.9707543858603047e-7
DivideInteger/ExMemory 264/ExMemory 2641604,1.8701401030977052e-6,1.8290384169659795e-6,1.946030535099123e-6,1.8501045680154974e-7,1.4520633426120342e-7,2.323550599081976e-7
DivideInteger/ExMemory 2641/ExMemory 0,9.854645791989482e-6,9.809817474915599e-6,9.927358749458468e-6,2.031521048141771e-7,1.4605632603531864e-7,2.7236478095238385e-7
DivideInteger/ExMemory 2641/ExMemory 0,9.785038783095528e-6,9.713966200129326e-6,9.915066287708088e-6,3.1685776695501783e-7,2.395575213433946e-7,4.095910447154904e-7
DivideInteger/ExMemory 2641/ExMemory 0,9.902465659329948e-6,9.68917352764438e-6,1.0490663013772454e-5,1.1455250388146389e-6,2.562917892114789e-7,2.175347271907827e-6
